RowID,Cluster Title,Story Title,Story Summary,Owner,AI Captured Date & Time,Assigned Date & Time,Moved to Not Impactful (Owner),Date & Time when moved to Not Impactful,Suppliers,Linked Stories,Event Classification,Not Impactful Feedback,Feedback
301,Cargo Plane Skids Off Miami Runway: 5 Dead,"Miami plane accident, five dead: investigation into Amazon cargo that went off the runway","On 2026-09-07 a Boeing 767-300 operated by 21 Air for Amazon Air overran the runway while landing at Miami International Airport coming from San Juan; it struck vehicles, caught fire, killed five people, injured five, and temporarily suspended airport operations.",Deepika Rao,2026-09-07 15:28:19.692,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"A, CORSA, AMAZON, E, LA, CE LINK",36.0,Event,,AGREED
302,Cargo Plane Skids Off Miami Runway: 5 Dead,"Witness describes ""surreal"" moment Amazon plane crashed near Miami International Airport: ""Something from a movie","An Amazon cargo plane overshot the runway and crashed near Miami International Airport on Sept. 6, 2026, bursting into flames; five people were killed and five injured. FAA and NTSB are investigating; large emergency response deployed.",Deepika Rao,2026-09-07 15:38:31.051,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"MIAMI INTERNATIONAL AIRPORT, A, AMAZON, AND, BY, AMI INTERNATIONAL, INTERNATIONAL, CE LINK",36.0,Event,,AGREED
303,Cargo Plane Skids Off Miami Runway: 5 Dead,"Amazon plane on fire! It veers off the runway, hits vehicles and leaves 5 dead | VIDEO","On Sept 6, 2026, a 21 Air-operated Boeing 767 freighter for Amazon veered off the runway at Miami International Airport during landing, struck vehicles, caught fire; at least five dead, five injured, airport operations suspended pending FAA/NTSB investigation.",Deepika Rao,2026-09-07 14:56:28.659,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"SALE, AMAZON, LA, 5, EL, Y, AL, CE LINK",36.0,Event,,AGREED
304,Iran threatens retaliation after U.S. strikes to oil tankers,Iran threatens retaliation after U.S. strikes to oil tankers,"U.S. struck Iranian oil tankers prompting Iran to threaten ""more painful"" retaliation, escalating geopolitical tensions and disrupting maritime oil shipments.",Abeer Khan,2026-09-07 14:49:31.211,2026-09-07 16:34:30.594,Abeer Khan,2026-09-07 16:36:49.520,"OVER, AS, UP AG, UP, CE LINK",0.0,Non-Event,,AGREED
305,Doctors threaten strike notice over nurses’ strike,Doctors threaten strike notice over nurses’ strike,"In Kenya, an ongoing nurses' strike is disrupting services in public health facilities and contributing to deaths, prompting doctors (Kenya Medical Practitioners, Pharmacists and Dentists Union) to threaten a strike notice within seven days if unresolved.",Deepika Rao,2026-09-07 14:49:29.496,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"THAT, A, NO, E ON, DAYS, IS, 0, OVER, AS, 7, AND, BY, CE LINK, SEP",1.0,Event,,AGREED
306,Doctors threaten strike notice over nurses’ strike,KMPDU Sets 7-Day Deadline for Govt to Resolve Nurses’ Strike | Tukio,"A nurses' strike that began in late July 2026 has entered its sixth week, disrupting nursing services across Kenya's public hospitals; KMPDU issued a seven-day deadline and warned doctors may join if government does not resolve CBA issues.",Deepika Rao,2026-09-07 15:20:30.401,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"THAT, RS CO, E ON, SETS, DAYS, IS, HE INDUSTRIAL, INDUSTRIAL, CE LINK",1.0,Event,,AGREED
307,Encore Strike Continues Into Labor Day | WBZ NewsRadio 1030,Encore Strike Continues Into Labor Day | WBZ NewsRadio 1030,"Over 1,300 workers at Encore Boston Harbor in Everett, Massachusetts, walked off the job on Sept. 4 and continued striking into Labor Day over failed contract talks with Wynn Resorts; unions seek raises, healthcare and job security.",Deepika Rao,2026-09-07 14:49:28.134,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"ENCORE, RS CO, AT, CE LINK, ON",1.0,Event,,AGREED
308,Encore Strike Continues Into Labor Day | WBZ NewsRadio 1030,No deal yet: Encore Boston Harbor strike enters fourth day,"More than 1,300 union workers at Encore Boston Harbor in Boston, Massachusetts, are on strike over wages, benefits and job security; strike entered fourth day with no new bargaining sessions and the resort remains open using replacement workers.",Deepika Rao,2026-09-07 15:51:32.352,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"NO, ENCORE, AS, E ON, AND, DURING, CE LINK, OPEN, ON",1.0,Event,,AGREED
309,"SBI, Bank of Baroda flag possible disruption from bank unions' strike calls","SBI, Bank of Baroda flag possible disruption from bank unions' strike calls","SBI and Bank of Baroda received strike notices from the United Forum of Bank Unions proposing strike dates in September and an indefinite strike from Oct 26, 2026, potentially impacting branch operations across India.",Deepika Rao,2026-09-07 14:49:24.673,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"THAT, A, POSSIBLE, AS, BE, BY, UNITED, BANK OF BARODA, FORUM, CE LINK",1.0,Event,,AGREED
310,"SBI, Bank of Baroda flag possible disruption from bank unions' strike calls",SBI Bank strike alert: 3 nationwide strikes announced; operations may be hit. Check September and October dates,"UFBU announced nationwide bank strikes in India on Sept 11, Sept 28-30, and a potential continuous strike from Oct 26, 2026, over five-day week and PLI demands, risking disruption to branch services at SBI and other banks.",Deepika Rao,2026-09-07 16:16:30.049,2026-09-07 16:19:50.324,Deepika Rao,2026-09-07 16:29:44.317,"3, BE, AND, CE LINK",1.0,Event,,AGREED
