RowID,Cluster Title,Story Title,Story Summary,Owner,AI Captured Date & Time,Assigned Date & Time,Moved to Not Impactful (Owner),Date & Time when moved to Not Impactful,Suppliers,Linked Stories,Event Classification,Not Impactful Feedback,Feedback
401,Win Systems Sells Its Gaming Division to Primero Games,Win Systems Sells Its Gaming Division to Primero Games,"Win Systems sold its Gaming Division to Primero Games; over 3,000 gaming positions across Mexico, Peru, Colombia, Puerto Rico and Panama transfer to Primero, which will continue operations and invest in products and technology.",Abeer Khan,2026-09-07 14:31:22.016,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 14:36:10.597,"A, COMPANY F, XPAND IT, AND, G COMPANY, GLOBAL, IS, INTERNATIONAL, CE LINK, COMPANY",0.0,Event,,AGREED
402,Huge fire near Menouf train station.. fire trucks dispatched to control the flames,Huge fire near Menouf train station.. fire trucks dispatched to control the flames,"A large fire burned trees and reeds near Menouf train station in Menoufia Governorate, Egypt; Civil Protection and fire trucks responded to contain flames and prevent spread, with no reported injuries and investigations ongoing.",Abeer Khan,2026-09-07 14:31:20.480,2026-09-07 16:34:30.594,Abeer Khan,2026-09-07 16:36:49.520,CE LINK,0.0,Non-Event,,AGREED
403,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover announced plans to cut 4,000 jobs over two years, primarily affecting its U.K. operations and factories, aiming to save 1.7 billion pounds to invest in electrification amid competition from Chinese EVs and tariffs.",Abeer Khan,2026-09-07 14:30:28.150,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"WORKFORCE, AS, JAGUAR LAND ROVER, LONDON, CHINA, T C, AND, GLOBAL, TS GLOBAL, CE LINK",6.0,Event,,AGREED
404,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover Lays Off 4,000 Employees, Pressured by Chinese Cars and US Tariffs","Jaguar Land Rover announced planned cuts of about 4,000 jobs (10% of global workforce) over two years amid competition from Chinese EV makers and U.S. tariffs, with broader industry restructuring including Volkswagen layoffs.",Abeer Khan,2026-09-07 16:50:28.668,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"MOBIL, AS, JAGUAR LAND ROVER, 4, CHINA, GLOBAL, CE LINK",6.0,Event,,AGREED
405,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover to Cut 4,000 Jobs Amid Cost-Cutting Measures and Competition from Chinese EVs - SSBCrack","Jaguar Land Rover announced plans to cut 4,000 jobs globally over two years, mainly in the UK, as part of cost-cutting to save 1.7 billion pounds and invest in electrification amid competition from Chinese EVs and past cyberattack disruptions.",Abeer Khan,2026-09-07 16:37:27.349,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"A, OVER, AS, JAGUAR LAND ROVER, NEXT, AND, BS GLOBAL, CE LINK",6.0,Event,,AGREED
406,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover to cut 4,000 roles in cost-savings drive","Jaguar Land Rover (a Tata Motors division) plans to cut about 4,000 roles—mostly salaried staff and managers—through a voluntary redundancy programme as part of a £1.7bn cost-saving drive amid trade tariffs, competition and weak Chinese demand.",Abeer Khan,2026-09-07 15:51:28.369,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"A, WORKFORCE, AS, IMPACT, JAGUAR LAND ROVER, GLOBAL, IS, T I, TS GLOBAL, CE LINK, ON",6.0,Event,,AGREED
407,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","JLR plans 4,000 job cuts, targets £1.7-bn savings","Jaguar Land Rover announced it will cut about 4,000 roles globally over the next two years as part of a £1.7 billion cost-saving programme; direct manufacturing jobs reportedly unaffected.",Abeer Khan,2026-09-07 16:57:29.675,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"A, E COMPANY, PEOPLE, TATA MOTORS, TATA, CE LINK, COMPANY",6.0,Event,,AGREED
408,"Jaguar Land Rover will cut 4,000 jobs to reduce costs and compete with China | RiverBender.com","Jaguar Land Rover Announces 4,000 Job Cuts Amid Industry Challenges - World News | TakeToNews","Jaguar Land Rover announced plans to cut 4,000 jobs globally (10% of workforce) due to declining sales, profit margins, competition, and geopolitical pressures; significant impact centered in the UK.",Abeer Khan,2026-09-07 15:00:29.062,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 17:41:16.711,"A, MARKET, JAGUAR LAND ROVER, CE LINK",6.0,Event,,AGREED
409,Villagers on hunger strike over road woes in Shahjahanpur; officials assure action,Villagers on hunger strike over road woes in Shahjahanpur; officials assure action,"Dozens of villagers and Samajwadi Party workers in Jera Rahimpur (Jalalabad block, Shahjahanpur, Uttar Pradesh) staged a three-day hunger strike and human-chain protest demanding reconstruction of a decades-old road turned into a muddy track, disrupting local commuting; officials say demands will be addressed.",Abeer Khan,2026-09-07 14:28:29.530,2026-09-07 16:34:30.594,Abeer Khan,2026-09-07 16:36:49.520,"A, OVER, AND, T THREE, CE LINK, ON",0.0,Non-Event,,AGREED
410,MV Agusta production halted at Varese amid failed CFMOTO acquisition and financial turmoil,MV Agusta production halted at Varese amid failed CFMOTO acquisition and financial turmoil,"MV Agusta halted production at its Varese factory in April 2026 amid insolvency, failed CFMOTO takeover, unpaid suppliers, and legal disputes; dealers in DACH face severe shortages and the company risks bankruptcy and job losses.",Abeer Khan,2026-09-07 14:27:39.808,2026-09-07 14:34:01.140,Abeer Khan,2026-09-07 14:36:10.597,"A, STARK, CONQUER, AS, AT, MARTIN, BY, AND, CE LINK, PRODUCTION",0.0,Event,,AGREED
